epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.27696361167296024,0.22597592470034883,0.9055464030752334,0.9294807370184255
2,0.2205905537563389,0.233650472221063,0.9224967966318872,0.919430485762144
3,0.19823124259301164,0.20324466081719902,0.9283543840380744,0.9308207705192629
4,0.18124933154994743,0.20011356398088848,0.9354933186893648,0.9314907872696817
5,0.16747936994279236,0.15260753192793783,0.9392641405820977,0.9438860971524288
6,0.15969955221530438,0.2579804473186857,0.9416437854658612,0.8974874371859296
7,0.14866427145182334,0.19161423291992302,0.9459271462566355,0.931323283082077
8,0.14035267884066183,0.23756903439909968,0.9481603514552444,0.9308207705192629
9,0.13065936823489574,0.1265813387818073,0.9514186344499359,0.9520938023450586
10,0.11783724633351844,0.125460135914273,0.9559216547684423,0.9536013400335008
11,0.10936169784550874,0.14453778348526164,0.9591799377631338,0.9474036850921274
12,0.09890599279597459,0.12941730360327355,0.9625480505216913,0.9530988274706867
13,0.08988031261753474,0.10626964988982558,0.9664287021782904,0.9597989949748744
14,0.08123580763655532,0.10088728673419162,0.970455793520044,0.9636515912897823
15,0.07265946284992102,0.0945011768490076,0.9730917078528282,0.966499162479062
16,0.06648882266946182,0.08947114730207016,0.9758374519494784,0.9686767169179229
17,0.05953723715105795,0.08640647207354031,0.9774116785648911,0.9705192629815745
18,0.054500496318744866,0.08589443352410392,0.9802672524254072,0.9706867671691792
19,0.0502558499615576,0.08726280897237997,0.9822807980962841,0.9710217755443886
20,0.04891890312357305,0.08534145992642371,0.9820245286472634,0.9710217755443886
